depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_5,lineage_6,lineage_4,DOXORUBICIN (GDSC1:133),PEVONEDISTAT (GDSC1:1529)
ACH-001738,CCRFCEM,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,T-cell,,,0.3781941568349121,0.8251107987752899
ACH-002218,CESS,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,,,,0.4753336179679921,0.7722106855678412
ACH-000136,CHP126,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,MYCN Amp,,0.6024588052557912,
ACH-002092,CHSA0011,Bone,Chondrosarcoma,Chondrosarcoma,,,,0.9076216832098334,0.9837055298110996
ACH-002093,CHSA0108,Bone,Chondrosarcoma,Chondrosarcoma,,,,0.8305000905856047,0.7965302052562923
ACH-002094,CHSA8926,Bone,Chondrosarcoma,Chondrosarcoma,,,,0.8099546584673778,0.9844117506660556
ACH-000798,CL40,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,,0.9880241847584184
ACH-000641,CMK,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,M7,,,0.5851860849608899,0.8544166246035616
ACH-001039,COLO205,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.3887151154097189,0.9318380474919724
ACH-002219,COLO320HSR,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.8474340729845057,0.9712237862292458
ACH-000864,COLO684,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,,,,0.7722118264912892,0.9331358269926198
ACH-001489,CORL32,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NSCLC Squamous,,,,0.9034785340356868
ACH-001490,CORL321,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,,,,0.8884734433137569
ACH-000743,CORL95,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.7901121761315021,0.963155931256684
ACH-002096,CP50MELB,Skin,Melanoma,Melanoma,,,,0.9289167533960973,
ACH-002097,CP66MEL,Skin,Melanoma,Melanoma,,,,0.9242426396925624,0.9123762768174632
ACH-001049,CPCN,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.6054024350925916,0.9006104110768529
ACH-002220,CROAP2,Lymphoid,Non-Hodgkin Lymphoma,Primary Effusion Lymphoma,B-cell Primary Effusion,,,,0.698335663626688
ACH-002099,CS1,Bone,Chondrosarcoma,Chondrosarcoma,,,,0.7747968181919956,
ACH-002221,CTB1,Lymphoid,Non-Hodgkin Lymphoma,"Diffuse Large B-Cell Lymphoma, NOS",DLBCL,,,0.6144917381292506,0.9921160665821463
ACH-002222,CTV1,Lymphoid,Non-Hodgkin Lymphoma,Adult T-Cell Leukemia/Lymphoma,T-cell,,,0.3776588956849393,0.9424087719825156
ACH-002225,D263MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.7583616799669427,0.9168312203883288
ACH-002227,D392MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.8298792128238888,0.8139510928981639
ACH-002228,D423MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.6915085775067966,
ACH-002229,D502MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.9477064253313848,0.7775132129776212
ACH-002230,D542MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.8703561505048797,0.9534893264376542
ACH-002231,D566MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.598653718253625,
ACH-002232,DG75,Lymphoid,Non-Hodgkin Lymphoma,Burkitt Lymphoma,B-cell Burkitt,,,0.9074040509464416,0.9683581268554532
ACH-002233,DIFI,Bowel,Colorectal Adenocarcinoma,Colorectal Adenocarcinoma,,,,,0.8578857437175669
ACH-002100,DJM1,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,,,,0.666708400665495,0.7704726467423729
ACH-002234,DOK,Head and Neck,"Head and Neck Carcinoma, Other","Head and Neck Carcinoma, Other",,,,0.8259119106744126,
ACH-002235,DSH1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,,,,0.7471397866315952,0.8882181635035876
ACH-002236,EB3,Lymphoid,Non-Hodgkin Lymphoma,Burkitt Lymphoma,B-cell Burkitt,,,0.9259973217154738,0.9018606609346448
ACH-000038,EHEB,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,0.6626659691162864,0.9803193882294888
ACH-000706,EKVX,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.6907356692876108,0.9502732782329298
ACH-002101,EMCBAC1,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,,,,,0.9833989171219514
ACH-000585,EPLC272H,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NSCLC Squamous,,,0.6899791499662746,
ACH-002103,ES1,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.3369060147288086,
ACH-002104,ES3,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.5579867770272154,0.9145512554922496
ACH-002105,ES4,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.3198787032714212,0.7351645675032139
ACH-002106,ES5,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.7392476357090598,0.8390396953112332
ACH-002107,ES6,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.7274539180874701,
ACH-002108,ES7,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.4662495442475197,0.6410399681056249
ACH-002109,ES8,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.4278752309666932,
ACH-001496,ESO26,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Adenocarcinoma of the Gastroesophageal Junction,,,,,0.9966453920156232
ACH-001497,ESO51,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,,,,,0.9733105365275446
ACH-002237,ETK1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Intrahepatic,,,0.6448325055496229,0.8967987971465254
ACH-001065,EVSAT,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,,,,0.9309871785175206,
ACH-002110,EW1,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.5701759015711482,0.7302804715450997
ACH-002111,EW11,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.7962234617621504,0.8159641206666095
ACH-002113,EW13,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.3469651156492703,0.9626720482370176
ACH-002114,EW16,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.2112626747884724,0.7145459341686207
ACH-002115,EW18,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.7806821623527704,0.9157934884315466
ACH-002116,EW22,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,,0.8318415887263456
ACH-002117,EW24,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.9112483184042168,
ACH-002118,EW3,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.8107201726978883,0.8926987872226961
ACH-002119,EW7,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.5049296298175645,0.8810829634976963
ACH-000633,FU97,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,Diffuse Gastric,,,0.6488733775598169,0.9084117424260484
ACH-000574,FUOV1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,High Grade Serous,,,0.8965548230194028,
ACH-002120,GAK,Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,,,,0.7723274645990638,0.8223494833252231
ACH-002121,GMEL,Skin,Melanoma,Cutaneous Melanoma,,,,0.5473822783514072,0.7299838862871223
ACH-000102,GMS10,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.8228875557144617,
ACH-002238,GRST,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,0.7982085648935449,0.8941983854364968
ACH-002123,H2369,Pleura,Pleural Mesothelioma,Pleural Mesothelioma,,,,0.579674713565557,
ACH-002124,H2373,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Sarcomatoid Type",,,,0.7837952831946836,0.8352559636147261
ACH-002125,H2461,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",,,,0.7987204615468322,
ACH-002126,H2591,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",,,,0.7823326169284296,0.7689888819923165
ACH-002127,H2595,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",,,,0.6380678724721472,0.935866650240564
ACH-002128,H2722,Pleura,Pleural Mesothelioma,Pleural Mesothelioma,,,,0.6493850226736316,
ACH-002129,H2731,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Sarcomatoid Type",,,,0.950617043646746,0.7490804915188031
ACH-002130,H2795,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",,,,0.8609629071687785,
ACH-002131,H2803,Pleura,Pleural Mesothelioma,Pleural Mesothelioma,,,,0.8528036892275425,
ACH-002132,H2804,Pleura,Pleural Mesothelioma,Pleural Mesothelioma,,,,0.5641195042820468,
ACH-002134,H2818,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",,,,0.908547209485566,0.9201652563423768
ACH-002135,H2869,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",,,,0.7615056427101609,0.8712222051127398
ACH-002136,H290,Pleura,Pleural Mesothelioma,Pleural Mesothelioma,,,,0.6875324235110156,0.6623734417537958
ACH-002239,H3118,Head and Neck,Salivary Carcinoma,Mucoepidermoid Carcinoma,,,,0.4498296330109507,0.7352314330222032
ACH-002138,H513,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,NSCLC Adenosquamous,,,0.7982512382974372,0.9399689268254542
ACH-002240,H9,Lymphoid,Non-Hodgkin Lymphoma,Sezary Syndrome,T-cell Cutaneous,,,0.5623092731876596,0.934035168207389
ACH-002139,HA7RCC,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,,,0.8017829493575562,0.6600588073545293
ACH-002241,HAL01,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,0.7722589932139848,
ACH-002242,HC1,Lymphoid,Non-Hodgkin Lymphoma,Hairy Cell Leukemia,,,,0.5289621667221412,0.8066267399491204
ACH-000725,HCC202,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,ERneg HER2pos,HER2 Amp,,0.8295101296734362,0.9068914488212576
ACH-000755,HCC2218,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,ERneg HER2pos,HER2 Amp,,0.7034040542032463,0.9910100599262406
ACH-001081,HCC2998,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.4434822714294598,
ACH-000840,HCC366,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,NSCLC Adenosquamous,,,,0.9756502659836002
ACH-000668,HCC70,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ERneg HER2neg,Basal A,,0.8196588964674585,0.7674741394687563
ACH-002243,HCE4,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,,,,0.4219395865811733,0.8213163889637287
ACH-000267,HDLM2,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,,,,0.8800241349813864,0.9394356226282016
ACH-001086,HELA,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,,,,0.6980565695293396,0.8045430392935472
ACH-001519,HEMCSS,Bone,Chondrosarcoma,Extraskeletal Myxoid Chondrosarcoma,,,,0.7489579505541124,
ACH-001089,HLE,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,,,,0.509945057557161,0.7634155771066723
ACH-001090,HN,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Oral,,,0.8266373128002196,0.8643616857971516
ACH-002244,HO1N1,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Oral,,,,0.7786353297413174
ACH-000861,HOP62,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.533368910547965,0.7141813286189673
ACH-000825,HOP92,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,,,,0.8023372041286716,0.9722739657760744
ACH-000148,HS578T,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",ERneg HER2neg,Basal B,,0.9422406849771204,0.8879857576623201
ACH-002246,HS633T,Soft Tissue,Fibrosarcoma,Fibrosarcoma,,,,0.4262602559058201,0.7708181190801716
ACH-000616,HS746T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,,,,,0.9835033295268614
ACH-002141,HSC39,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Signet Ring Cell Carcinoma of the Stomach,Signet Ring Cell,,,0.9990587239336296,0.9070337469180272
ACH-000546,HSC4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,,,0.6142980183726945,
ACH-000538,HUTU80,Bowel,Small Bowel Cancer,Duodenal Adenocarcinoma,,,,0.1769458427368398,0.6272995593012508
ACH-000966,IGROV1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,Mixed Endometrioid Clear Cell,,,,0.9801004602073368
ACH-002247,IM9,Myeloid,Non-Cancerous,Immortalized Blood,,,,0.5301170606667667,0.7831411288519401
ACH-002143,ISTMEL1,Skin,Melanoma,Melanoma,,,,0.5083765920966352,0.6781228061594161
ACH-002144,ISTSL1,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.8504605762610654,0.9124907943803148
ACH-002145,ISTSL2,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.6015081933817142,0.9190497963833394
ACH-000577,JHH2,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,,,,0.8775171464848992,0.8965522748959862
ACH-002146,JHOS3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Serous,,,,0.9904699132302568
ACH-002249,JHU011,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,Laryngeal,,,0.3286542898686114,
ACH-002250,JHU022,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,Oral,,,0.8459993980807421,0.7443733522151255
ACH-002251,JHU029,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,Laryngeal,,,0.3988209560425112,0.8562800567055866
ACH-000106,JVM2,Lymphoid,Non-Hodgkin Lymphoma,Mantle Cell Lymphoma,B-cell Mantle Cell,,,0.7701363779395807,0.837960145476468
ACH-002147,K2,Skin,Melanoma,Melanoma,,,,0.7630252661524826,0.8365995097135658
ACH-002148,K5,Thyroid,Well-Differentiated Thyroid Cancer,Papillary Thyroid Cancer,,,,0.6430646517278291,
ACH-002254,KARPAS1106P,Lymphoid,Non-Hodgkin Lymphoma,Primary Mediastinal (Thymic) Large B-Cell Lymphoma (PMBL),B-cell Mediastinal Large,,,,0.9778153102353137
ACH-002255,KARPAS231,Lymphoid,Non-Hodgkin Lymphoma,"Diffuse Large B-Cell Lymphoma, NOS",DLBCL,,,0.5063629300584878,0.9637255942014992
ACH-000053,KARPAS299,Lymphoid,Non-Hodgkin Lymphoma,Anaplastic Large-Cell Lymphoma ALK Positive,T-cell ALCL,,,0.744593644949886,0.9537878128391064
ACH-002256,KARPAS45,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,T-cell,,,0.9153187469590072,0.9159687918204008
ACH-002257,KINGS1,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,Astrocytoma,,,0.8968046720460389,0.9010083751381016
ACH-000969,KM12,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,MSI,,0.743064376253503,
ACH-002258,KMOE2,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,M6,,,0.8142250443331993,0.9223705871616684
ACH-002259,KNS81FD,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.6984250577701296,0.8573260994927097
ACH-001107,KP1N,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,0.6466796329091308,0.968684225803756
ACH-002261,KPNYS,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,0.7673528527496714,
ACH-002263,KYSE220,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,,,,0.6228041998535981,
ACH-002264,KYSE50,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,,,,0.6366477153063329,0.8902539935288311
ACH-000702,L1236,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,,,,0.912490537020832,0.9547657522275464
ACH-000754,L428,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,,,,0.8434034649847633,
ACH-000806,L540,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,,,,0.6839381005224863,0.963776150259288
ACH-001355,LAN6,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,0.7649406140571842,0.9726238409703484
ACH-002150,LB1047RCC,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,,,0.6371697450781195,
ACH-002151,LB2241RCC,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,,,0.7850814052642711,0.7557690109916597
ACH-002152,LB2518MEL,Skin,Melanoma,Melanoma,,,,,0.9336193643961328
ACH-002153,LB373MELD,Skin,Melanoma,Melanoma,,,,0.7062889390665422,0.9419071967439372
ACH-002154,LB647SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.6636511083303503,
ACH-002265,LB771HNC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,,,,0.8668045991934322,
ACH-002266,LB831BLC,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,,,,0.7776342119936139,
ACH-002155,LB996RCC,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,,,0.6133493752425621,
ACH-002156,LC1SQ,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NSCLC Squamous,,,0.7141309686943982,
ACH-002157,LC2AD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.2849352999328689,0.8134286267802766
ACH-002267,LC41,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,0.7600680503133918,0.9544868598762392
ACH-000596,LCLC97TM1,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NSCLC Large Cell,,,0.3565733950054174,
ACH-002268,LN405,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.9047265256300968,0.9787118382693092
ACH-002269,LNZTA3WT4,CNS/Brain,Diffuse Glioma,Astrocytoma,Astrocytoma,,,0.8039898471757992,0.8512096560681026
ACH-000438,LU65,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,NSCLC Large Cell,,,0.8223127083073143,0.9742636517467502
ACH-002158,LU99A,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,NSCLC Large Cell,,,0.6816972581169164,0.6815885446935137
ACH-001118,M059J,CNS/Brain,Diffuse Glioma,Glioblastoma,,,,0.4814442201428346,
ACH-002159,M14,Skin,Melanoma,Melanoma,Amelanotic,,,0.8830537548195454,0.8871596705092645
ACH-002270,MCCAR,Myeloid,Non-Cancerous,Immortalized Blood,,,,0.5404876193256258,
ACH-002160,MCIXC,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,0.4817152671276915,0.8359985782764975
ACH-000876,MDAMB415,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,ERpos HER2neg,HER2 Amp,,0.9002534678854641,
ACH-000439,ME1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,M4,,,0.9802008407173334,
ACH-002271,MFHINO,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,,,,0.2374896570874051,0.7970046627500471
ACH-002272,MHHPREB1,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,B-cell,,,0.7501622231622627,0.8691923119725782
ACH-002161,MKN28,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,Tubular,,,0.4866876342343066,
ACH-000058,ML1,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,Follicular,,,0.5527682503833309,0.9834600368380902
ACH-002273,ML2,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,,,,0.6942384277806646,0.7754078706771244
ACH-002275,MN60,Lymphoid,Non-Hodgkin Lymphoma,Burkitt Lymphoma,B-cell,,,0.8708818151396626,
ACH-001125,MOGGCCM,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,,,,0.7151512373922849,0.8984346696030732
ACH-001126,MOGGUVW,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,,,,0.5841304565098775,0.6519807734002689
ACH-000745,MOLP8,Lymphoid,Non-Hodgkin Lymphoma,Plasma Cell Myeloma,,,,0.5937473748558043,0.7948034197022924
ACH-001127,MOLT4,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,T-cell,,,0.3687109523782403,0.9065312117649288
ACH-002163,MRKNU1,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,,,,0.5574533111033673,
ACH-001131,MSDASH1,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,,,,0.7557949402358253,0.9634759899436732
ACH-000045,MV411,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,,,,0.2922827715511677,0.6989592504688867
ACH-002276,MYM12,Myeloid,Acute Leukemias of Ambiguous Lineage,Acute Leukemias of Ambiguous Lineage,,,,0.463666329195648,
ACH-002164,MZ1PC,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,0.5046992529628662,0.7378468785508391
ACH-002165,MZ2MEL,Skin,Melanoma,Melanoma,,,,0.4592660901856572,
ACH-002166,MZ7MEL,Skin,Melanoma,Melanoma,,,,0.6469838534933877,0.960493769799114
ACH-002278,NB10,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,0.7324557500314476,0.7302198928991669
ACH-002279,NB12,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,0.7732102177492188,0.9911058086814568
ACH-002280,NB13,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,0.6698450288647297,0.866221131936318
ACH-002281,NB14,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,0.7668811665433357,
ACH-002283,NB5,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,0.8070904464606752,0.7242696933241445
ACH-002284,NB6,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,0.8352611579989109,
ACH-002285,NB7,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,0.7377825729198522,
ACH-002169,NCIH1304,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.8137492469212562,
ACH-000830,NCIH1436,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.9854685104692478,
ACH-002170,NCIH1688,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.8535789858093238,0.9676092876518776
ACH-000282,NCIH1755,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.8579920460800687,
