id,PIM010,PIM014,PIM024,PIM051,PIM025,PIM038,PIM040,PIM046,PIM053,PIM056,PIM068,PIM077,PIM091,PIM137,PIM172,PIM163,PIM164,PIM190,PIM231,PIM269,PIM242,PIM254,PIM311,PIM262,PIM284,PIM321,PIM300,PIM328,PIM387,PIM402,PIM407,PIM388,PIM393,PIM404
ST_TYPE_I_INTERFERON_PATHWAY,2.9371,1.6263,1.9539,1.2734,2.9041,2.8783,1.1765,1.9158,2.2998,2.7918,0.6912,2.5027,2.925,0.0623,0.5657,1.7852,2.1689,1.4657,2.3372,1.5687,1.6119,3.0793,2.9475,1.522,1.6283,0.8264,2.547,2.7942,0.5592,1.4373,0.113,2.3454,3.0225,1.4724
ST_PAC1_RECEPTOR_PATHWAY,-1.2559,-1.6673,-1.7416,-1.6087,0.1333,0.0424,-0.7634,-1.292,1.3528,-0.8964,-1.6527,-0.9885,-0.137,-1.3327,-1.2174,-1.5972,-1.3958,-1.5133,-0.4248,-1.0097,-0.5443,-1.2253,-0.6207,-0.7191,-0.8395,-0.3707,-0.7866,-0.3529,-0.9633,-1.6838,-1.1494,0.474,0.1498,0.1997
ST_B_CELL_ANTIGEN_RECEPTOR,2.4506,2.2059,2.4868,1.7861,3.0774,2.4145,-0.1292,1.5036,2.3795,3.429,0.1071,2.7476,2.8549,1.3914,1.907,-0.0789,0.6055,1.8845,2.3185,2.6775,2.6138,3.0798,3.3876,1.3172,1.1796,1.1579,2.1212,2.1335,-0.5752,-0.5157,-0.6808,2.2351,3.0303,1.8381
ST_INTERLEUKIN_4_PATHWAY,1.6417,2.122,1.7124,1.1418,2.0919,1.5294,-1.1415,0.3031,1.5905,2.261,1.1157,1.7194,2.2311,1.1814,0.533,-1.7367,1.0335,0.4304,2.3408,3.0594,3.3471,1.5002,2.1472,2.0817,1.5872,1.0114,0.8601,1.1408,-0.2592,-0.6252,-0.9061,1.4839,2.5968,0.9385
ST_WNT_BETA_CATENIN_PATHWAY,3.9145,-0.255,0.4101,0.0867,2.0099,1.948,0.6585,1.1686,0.6117,2.7268,1.476,0.8712,0.2657,1.3265,0.7952,0.3662,1.7253,0.1907,1.9575,1.7668,2.0519,1.3272,1.2464,0.7238,1.3632,0.9439,1.0201,1.3959,2.419,2.7555,2.5483,1.3623,0.7754,0.2227
ST_JNK_MAPK_PATHWAY,1.6938,0.6992,0.6163,0.383,1.9503,1.5415,1.5078,1.0427,1.4825,1.8273,1.2033,1.2189,1.845,1.6993,0.9759,-0.1263,1.4227,0.6263,2.1472,1.6685,1.4017,1.2732,2.3989,1.7984,0.9988,1.0087,1.6638,0.9814,0.7837,0.4349,1.0776,1.5633,1.4257,1.1191
ST_FAS_SIGNALING_PATHWAY,3.8866,4.5119,4.1401,3.4511,4.6672,4.1279,4.2838,4.2727,4.5306,5.3937,2.6546,4.9108,4.1544,3.2246,4.3566,3.0519,3.9161,3.1804,5.1656,4.5072,3.9881,4.4756,4.4323,4.5798,3.6708,4.2311,5.12,4.5093,2.6307,2.9427,2.4642,5.2693,4.9653,4.9496
ST_MYOCYTE_AD_PATHWAY,-0.2299,-0.7244,-1.1684,-1.1464,-0.084,0.1212,-1.3596,-1.2651,-0.3432,-0.5235,-0.665,-0.0944,0.2408,0.4704,0.7071,-1.0784,-1.3093,0.3107,-0.2154,-0.6168,-0.5676,-0.6032,-0.2214,-0.589,-0.9373,-0.8763,0.6542,-0.3537,-2.1835,-1.8198,-2.1203,0.6532,0.9729,-0.1514
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY,3.9747,4.9938,4.8183,4.4572,3.9164,3.3546,4.1743,3.4217,4.3272,5.3812,3.9513,4.9959,3.9922,4.3219,3.6654,4.0076,2.5845,4.3142,4.9786,4.7259,4.984,4.1396,4.3269,4.0959,3.4469,3.1055,3.5353,3.745,2.4847,2.9093,2.7032,4.2122,4.9688,3.9589
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND,2.3642,3.2208,3.3042,3.4807,3.6492,3.6097,3.9778,3.5407,3.4114,3.577,3.1952,3.304,3.3567,3.5003,4.0428,3.6198,3.8102,3.4483,2.7744,3.1086,3.3003,3.277,2.9649,3.3296,3.7821,3.3922,3.5907,4.142,2.5963,3.0489,2.3482,3.3418,3.0475,3.6517
BIOCARTA_RELA_PATHWAY,1.2,2.0393,1.2898,1.7896,3.0908,2.9279,1.0322,1.5094,1.2153,2.9906,0.9971,1.6427,2.948,1.7567,2.1654,1.6171,-0.0377,1.0358,1.7694,2.2104,1.8512,2.6165,2.9113,2.2674,1.7679,1.7878,2.0178,1.9705,-0.3517,0.4823,0.1285,2.1879,2.5139,1.5019
BIOCARTA_NO1_PATHWAY,-0.8977,-0.8525,-1.2481,-0.4451,0.7652,1.1671,-0.2309,-0.4747,-0.5484,0.1308,0.1212,-0.3088,-0.9595,-0.1497,0.1836,0.0445,-1.2523,-0.0495,-1.018,-1.3646,-1.5587,-1.5097,-0.6008,-1.9837,-1.3443,-0.3229,-0.0838,0.6242,-0.1433,-0.0685,-0.0848,-0.6546,-0.4717,-0.7407
BIOCARTA_CSK_PATHWAY,-2.8525,-2.3591,-3.1135,-2.7216,-2.013,-2.4392,-2.5431,-3.0936,-2.4682,-2.5589,-2.8277,-2.5309,-1.6065,-3.2601,-3.2472,-2.2733,-2.0734,-2.6551,-0.8671,-2.4963,-2.8314,-1.4926,-2.4824,-4.2282,-3.7656,-2.1297,-1.7239,-1.1408,-3.2541,-3.4899,-3.3674,-3.049,-2.8675,-2.7677
BIOCARTA_SRCRPTP_PATHWAY,2.6047,2.9836,3.3421,2.8031,2.8658,3.1638,3.2438,2.2956,2.3717,2.8746,1.9796,2.4593,2.2361,2.9401,2.7139,3.1802,4.0693,2.5436,2.1573,2.8231,2.4855,2.5494,1.9279,2.1269,2.2929,1.9864,3.1648,2.5527,3.1429,2.9383,2.76,3.0135,2.8745,3.3519
BIOCARTA_AMI_PATHWAY,-2.3633,-4.3826,-4.8999,-5.4662,-4.0774,-2.338,-4.3165,-4.0807,-5.3927,-2.6402,-3.2774,-4.539,-5.5842,-4.2144,-3.0091,-4.0361,-4.5826,-5.546,-1.8519,-4.8209,-5.0333,-0.769,-1.9755,-1.556,-1.8615,-1.9831,-2.7591,-3.6318,-1.4318,-1.5211,-1.2668,-4.4613,-4.7747,-4.9275
BIOCARTA_GRANULOCYTES_PATHWAY,-5.2273,-4.5099,-4.9539,-5.0206,-5.0234,-4.9385,-5.4164,-5.0472,-5.9091,-1.6414,-5.1059,-4.8823,-4.712,-5.6086,-4.7615,-5.7756,-6.2335,-4.8808,-6.1341,-4.7526,-5.6957,-3.6335,-3.2988,-4.8884,-5.3731,-5.6957,-4.9507,-5.3774,-5.79,-5.6628,-5.9642,-5.3656,-4.7944,-5.3791
BIOCARTA_LYM_PATHWAY,-3.3274,-3.6614,-4.1355,-3.8722,-3.553,-3.0499,-4.1149,-3.72,-4.5315,-1.0247,-3.5978,-3.5117,-3.4094,-4.2022,-3.4337,-4.1534,-4.5891,-3.425,-4.2837,-3.6068,-4.0715,-2.2993,-1.7611,-3.8718,-4.1942,-4.2713,-2.9393,-4.0157,-4.4226,-4.001,-4.2977,-4.0308,-3.6979,-4.0523
BIOCARTA_ARAP_PATHWAY,2.7831,3.57,3.5526,3.5718,3.7345,4.1096,3.1307,2.9309,3.4839,3.7254,3.4012,3.5436,3.1299,3.0272,2.9089,2.7013,4.257,3.4505,3.1231,3.2032,3.4139,3.9213,4.2491,3.5469,3.4241,3.1942,3.5533,2.9841,3.1758,2.3105,3.7635,3.1325,3.3955,2.793
BIOCARTA_AGR_PATHWAY,1.9041,1.9833,1.5704,1.4884,4.5101,4.2328,2.6889,2.2394,0.9821,2.7303,3.9303,2.7061,1.2462,2.6714,2.7257,1.7408,1.38,1.2191,4.5181,3.1031,2.9411,2.4715,2.0246,2.3633,2.3661,3.7877,3.3474,3.3607,0.3875,0.3501,0.6439,1.7996,2.7863,1.5637
BIOCARTA_AKAP95_PATHWAY,3.9117,4.171,3.4912,4.0548,3.7854,3.9154,3.4125,3.8826,4.1054,2.9825,3.9974,3.7851,3.5667,4.3185,4.0534,4.3082,4.0279,4.3482,3.0583,3.5406,3.6473,3.3159,3.7432,3.1226,3.4671,3.9571,3.8793,3.6699,3.6412,3.9212,3.7321,3.7839,3.9485,3.9714
BIOCARTA_AKT_PATHWAY,3.222,2.4594,2.6485,2.399,4.6117,4.5406,3.1942,3.6864,3.2478,3.8402,3.6488,3.9048,4.7204,2.7932,3.6296,2.5183,1.7506,2.8215,4.2187,3.3534,3.435,2.5213,3.0734,3.4013,3.4327,2.6083,3.174,2.8392,1.5728,2.2029,1.7418,3.3724,4.0233,3.4064
BIOCARTA_ALK_PATHWAY,1.7355,-1.9023,-1.615,-2.6975,1.5145,0.896,-1.9488,-0.7219,-0.6671,1.3933,1.1055,-0.8247,-1.0425,0.3442,-0.7356,-0.9285,-1.1609,-0.4992,0.0076,-1.6371,-1.8779,-1.9919,-1.0323,0.6543,-0.0394,-1.8777,1.0783,0.9166,0.9991,0.7423,1.4191,-1.3077,-0.9543,-1.4715
BIOCARTA_AT1R_PATHWAY,5.1374,5.7382,5.51,5.2066,5.5931,5.5097,5.4648,5.0615,5.3496,5.3325,4.7881,5.5447,5.2005,5.6391,6.1607,5.3545,5.8046,5.4012,6.2607,5.9339,6.1751,5.6915,5.3152,4.4202,4.7538,4.9948,5.3573,5.5834,5.1241,4.9347,5.2447,5.9235,6.2128,5.7682
BIOCARTA_ACE2_PATHWAY,-2.7376,-3.6426,-4.5961,-4.5854,-3.2516,-2.5785,-4.9105,-4.3729,-4.1468,-2.4982,-3.2778,-4.445,-5.0045,-4.5346,-2.9905,-4.7352,-5.4987,-3.7833,-1.5029,-4.1804,-4.6091,-1.0463,-1.6374,-2.8442,-2.4428,-2.4039,-2.7649,-2.9206,-2.0817,-2.3753,-2.4856,-4.0847,-4.2954,-4.5241
BIOCARTA_ASBCELL_PATHWAY,-3.0156,-3.4739,-3.5808,-3.3754,-1.8768,-3.0334,-3.0027,-3.1498,-3.0889,-2.0188,-3.4693,-3.4013,-1.6688,-3.0001,-3.8811,-3.642,-3.5997,-3.3007,0.8859,-3.2637,-3.5424,-0.605,-2.4586,-4.0104,-3.8057,-2.6545,-2.7374,-1.3892,-4.105,-3.7687,-3.7772,-2.8654,-2.5988,-2.9288
BIOCARTA_DNAFRAGMENT_PATHWAY,2.5231,4.1448,4.1817,4.3172,3.1133,3.0631,2.5303,3.3368,3.2642,3.4045,2.7346,3.7914,2.9231,3.1713,3.3524,3.4825,3.1386,3.4948,3.5126,3.4236,2.9966,4.1523,3.5159,3.7489,3.3335,3.2683,3.5411,2.8484,4.091,4.1456,3.5103,4.031,3.8652,4.1069
BIOCARTA_CHEMICAL_PATHWAY,2.4982,2.1361,2.2929,1.879,2.4043,2.7941,2.1441,1.7092,2.2565,2.5242,2.3115,2.1638,2.6926,1.4352,2.6715,1.5266,1.5835,0.8571,2.8009,2.8053,2.6316,2.4117,2.0215,1.3721,1.4414,1.7272,2.2123,2.516,2.2893,2.3982,2.0375,2.5534,2.7013,2.9816
BIOCARTA_SPPA_PATHWAY,1.1419,0.3465,0.378,-0.1771,0.5775,0.6835,2.5011,0.2152,0.1452,-0.7555,-0.2125,0.9563,0.6538,0.3532,0.8487,0.5754,0.2506,0.6173,0.9258,1.2838,1.013,-0.0219,-0.1352,0.23,0.7152,0.0104,0.8931,-0.5138,-0.5673,-0.7139,-0.2253,-0.0972,-0.0175,0.0864
BIOCARTA_ATM_PATHWAY,2.1795,3.4889,3.4603,3.4637,3.6727,3.2318,2.9185,2.5611,2.9936,3.8008,3.5078,4.1615,3.5743,2.7793,2.8561,2.3239,2.4691,2.6883,2.7749,3.174,3.0484,3.34,3.4161,3.493,3.2594,2.6149,3.2485,1.8473,2.1662,2.116,2.8621,2.7036,2.8146,2.4591
BIOCARTA_AGPCR_PATHWAY,0.5938,1.0807,0.4462,0.9925,2.1613,1.8676,1.8972,0.551,1.1638,1.3656,1.1306,0.8066,1.0359,1.1542,1.4716,1.4758,1.6246,2.0094,1.1069,0.9347,1.3959,0.8237,1.6102,-0.1042,0.1499,1.7288,1.3511,1.4597,1.5039,1.5311,0.9895,0.5885,1.1739,0.9816
BIOCARTA_BCELLSURVIVAL_PATHWAY,3.648,4.1237,4.001,3.8392,4.3734,4.0795,3.159,3.9038,4.3675,4.1706,3.2847,3.9089,3.9456,4.2098,4.0262,4.2325,2.6571,3.5383,4.7017,3.3938,3.4892,3.2662,3.7174,3.7855,4.249,3.2531,3.6194,3.1416,3.2669,3.905,3.3473,3.7277,4.1294,4.301
BIOCARTA_BLYMPHOCYTE_PATHWAY,-2.7702,-4.0669,-3.5468,-3.6509,-1.7789,-2.9734,-3.3996,-3.4368,-3.5976,0.1561,-3.9434,-3.385,-1.4523,-3.374,-3.8414,-3.9015,-4.805,-2.8313,-0.0191,-3.4568,-3.7703,0.22,-1.7403,-4.3658,-3.9931,-3.3559,-2.7769,-2.6204,-4.8548,-4.3222,-4.4745,-3.0651,-2.1914,-2.8912
BIOCARTA_BCR_PATHWAY,2.3922,2.8215,2.6526,2.1002,2.883,3.0361,0.721,2.096,1.5963,2.6509,1.4491,2.6247,2.3157,3.1335,2.1611,1.5489,2.2136,2.3023,2.8099,3.4772,2.5948,2.7977,2.5381,2.5341,2.2992,2.0742,2.6592,1.5113,0.9687,0.8106,1.0803,2.7266,2.9108,2.4814
BIOCARTA_BIOPEPTIDES_PATHWAY,5.0109,5.165,4.8344,4.278,5.0975,4.9144,4.6517,4.9399,4.9167,4.4642,4.2654,4.8951,4.7985,4.9338,5.2501,4.7883,5.9747,4.5757,6.8105,5.5953,5.3608,4.9088,4.6847,3.0936,3.9747,4.3938,5.0641,4.7035,4.4344,4.1479,4.1791,5.9859,6.472,5.7405
BIOCARTA_RANKL_PATHWAY,-1.2195,1.0294,-0.0771,-0.0216,1.4006,1.0524,-0.5078,-0.3382,-1.2297,1.2858,-0.5008,0.417,0.7815,0.8548,0.3518,0.4556,-2.5002,0.0966,-0.0706,0.0029,-0.2396,0.815,-0.1219,1.1694,0.3101,-0.6189,0.1751,-1.4916,-2.0173,0.1182,-1.6209,0.175,1.2407,-0.226
BIOCARTA_CACAM_PATHWAY,0.3224,1.8702,1.2369,0.9209,0.3689,0.8899,0.4759,0.1296,1.422,0.0297,0.534,0.6336,0.3914,0.8412,0.7297,0.5387,2.1314,0.2351,1.2184,0.7002,0.3108,0.7149,0.1571,0.4756,0.7892,0.7277,0.5999,1.3213,1.1878,0.8685,1.1616,0.0792,0.2596,0.4645
BIOCARTA_CDMAC_PATHWAY,3.2179,3.6263,3.1695,3.0034,4.0908,3.8407,3.4009,2.4357,2.2577,3.9644,2.8744,3.484,3.2507,4.0615,4.3284,3.0871,2.456,3.261,3.159,3.1061,3.065,2.9396,2.5704,3.0558,2.9019,2.5879,2.6024,1.3847,2.3423,2.5067,3.0332,2.8501,3.156,2.2215
BIOCARTA_CARM_ER_PATHWAY,3.9372,3.3287,4.1082,3.6086,2.2777,2.7752,3.7085,3.037,2.5048,4.0365,4.1404,3.9797,3.3222,3.1036,2.8245,3.702,3.4064,4.7977,3.4619,4.1967,4.176,3.3008,3.7041,4.0949,4.0124,3.7682,3.7251,3.9735,2.9012,3.7287,4.2576,2.3909,2.323,2.2013
BIOCARTA_CASPASE_PATHWAY,0.7941,3.4812,2.3637,1.7674,2.6302,2.9148,2.6474,2.1468,1.6441,3.417,1.4356,1.983,3.2703,2.6009,2.8877,1.1662,0.1156,2.3163,3.4118,3.0862,2.9861,3.8021,3.0589,3.0814,2.389,1.5144,2.591,1.7549,0.416,0.692,0.6653,2.6552,3.1864,2.8838
BIOCARTA_CBL_PATHWAY,-0.1835,-0.493,-1.3201,-1.3235,1.4596,0.9872,1.6614,-0.0795,-1.7112,0.7298,0.0264,-0.791,0.0139,0.7995,0.0614,0.3442,-1.2691,-0.5654,1.9059,2.0113,0.929,-0.0248,0.063,0.5381,0.1974,-1.2403,1.0962,0.4162,-1.3196,-0.5797,0.2097,0.4133,0.4472,-0.4162
BIOCARTA_CCR3_PATHWAY,4.9199,3.1019,3.1031,2.8604,4.7616,4.929,4.7715,3.8136,3.5663,3.4008,3.693,4.3495,4.2902,3.6152,4.3811,3.0844,4.2524,3.827,4.5963,4.4971,4.0077,2.8314,2.4369,3.3062,3.2387,3.6115,4.5925,4.6509,3.0312,2.9002,3.7951,4.408,3.9598,3.3883
BIOCARTA_CD40_PATHWAY,1.3186,1.7168,1.6814,1.3074,2.7838,2.3988,1.2537,1.4601,1.2321,3.8063,1.0707,2.9365,3.0035,1.8163,1.6631,1.2544,0.5402,1.6234,1.5337,2.6137,1.934,2.5183,2.7191,3.0378,2.4056,1.4355,1.7594,0.1955,0.2055,1.2384,0.5434,2.2918,2.2422,1.9392
BIOCARTA_MCM_PATHWAY,5.3123,4.8751,4.3933,4.5756,1.8415,2.4695,3.51,3.4423,3.8253,2.5504,3.8513,4.6822,2.6818,3.9242,4.7638,4.4109,5.0965,2.4802,2.7438,2.9834,2.489,4.5671,4.5344,4.8875,5.263,3.8838,4.9073,5.0525,5.52,5.585,5.3243,3.786,3.0231,3.7669
BIOCARTA_G1_PATHWAY,4.3366,3.9779,4.0121,3.1673,2.9941,3.3863,1.0526,3.2557,3.2107,3.961,4.5325,4.3538,2.9154,4.3679,3.9,4.3483,2.4065,3.2241,3.6247,3.5777,3.3257,3.3114,3.5074,3.9029,3.4487,2.4634,3.9306,3.7261,4.2211,4.2733,3.3864,3.1063,3.1113,3.0268
BIOCARTA_G2_PATHWAY,5.4736,4.7741,5.0945,4.9508,3.8655,4.1052,4.3142,4.2643,4.2449,4.0171,4.8006,4.3739,3.9366,4.0977,4.207,4.7022,5.7923,3.7991,2.9749,4.5554,3.7832,4.0785,3.9594,4.7841,4.8806,4.147,4.5978,4.0298,5.2005,4.4571,4.5082,4.7933,3.9443,4.426
BIOCARTA_CELL2CELL_PATHWAY,1.1149,1.0856,1.1523,0.4459,1.1166,1.3226,0.8366,0.5359,0.91,0.9625,0.5263,1.2943,0.509,0.8426,0.834,1.0703,0.9036,0.1546,1.8072,0.3362,0.0778,0.5012,0.2246,0.8727,0.642,0.8965,1.6593,1.5254,1.4071,0.8298,0.3452,0.7256,0.6227,0.5481
BIOCARTA_LAIR_PATHWAY,-3.8952,-2.9238,-3.1794,-3.2324,-2.0114,-3.1272,-4.2568,-3.9709,-4.2958,0.5583,-4.3647,-3.2773,-3.0243,-3.3479,-2.6064,-3.2926,-5.0918,-3.485,-4.3696,-2.8225,-3.1505,-1.287,-0.8787,-3.9006,-4.1987,-4.4489,-2.7587,-4.2605,-4.7803,-4.7116,-4.7282,-2.6609,-2.1644,-2.9169
BIOCARTA_CERAMIDE_PATHWAY,4.5916,3.0721,2.5211,2.8291,3.6286,3.8904,3.5183,3.6603,3.7352,3.7607,3.4749,3.9627,3.8612,2.9081,3.9771,2.7908,2.7968,2.9043,3.5374,3.7951,3.5136,2.9198,3.2385,3.3862,3.457,3.8477,3.6125,3.1798,0.882,1.5077,1.5669,3.876,4.6625,3.7838
