Clean,PIM046,PIM053,PIM056,PIM068,PIM077,PIM091,PIM137,PIM172,PIM163,PIM164,PIM190,PIM231,PIM242,PIM269,PIM254,PIM311,PIM262,PIM284,PIM300,PIM328,PIM387,PIM402,PIM407,PIM388,PIM393,PIM404,PIM010,PIM014,PIM024,PIM051,PIM025,PIM038,PIM040
PROCHLORPERAZINEDIMALEATE_Broad,0.22,0.06,0.04,0.22,0.31,0.03,0.34,0.40,0.19,0.08,0.09,0.20,0.21,0.06,0.21,0.26,0.51,0.52,0.08,0.15,0.09,-0.08,-0.02,0.03,0.13,0.12,0.19,0.18,0.48,0.63,0.01,0.04,0.11
KHS101_Broad,0.17,0.62,0.07,0.25,0.15,0.21,0.17,0.29,0.22,0.16,0.01,0.29,0.22,-0.04,0.20,0.29,0.19,0.08,0.12,0.08,0.01,-0.05,0.08,0.19,0.22,0.24,0.12,0.22,0.25,0.48,0.07,0.07,0.35
PF4800567HYDROCHLORIDE_Broad,0.09,0.04,0.04,0.16,0.24,0.02,0.28,0.42,0.18,0.07,0.04,0.22,0.32,0.06,0.19,0.16,0.41,0.41,0.08,0.12,0.04,-0.01,0.02,0.11,0.14,0.09,0.12,0.20,0.28,0.41,0.02,0.11,0.15
MST312_Broad,0.21,0.27,0.26,0.15,0.12,0.19,0.17,0.30,0.28,0.30,0.07,0.20,0.29,0.16,0.25,0.22,0.25,0.19,0.22,0.36,0.30,0.19,0.23,0.17,0.29,0.22,0.34,0.23,0.31,0.32,0.12,0.22,0.20
HLI373_Broad,0.06,-0.04,-0.01,0.02,0.09,-0.03,0.01,-0.02,0.05,0.00,-0.02,0.04,0.04,0.03,0.05,0.06,-0.04,0.06,0.04,-0.05,0.00,-0.06,-0.01,0.06,0.08,0.07,-0.01,-0.03,0.05,0.02,-0.03,0.07,0.01
PX12_Broad,0.00,-0.01,0.00,-0.01,-0.08,-0.05,0.08,0.02,0.12,0.03,-0.07,0.06,-0.02,-0.06,0.02,0.02,-0.03,0.02,-0.04,0.05,-0.01,-0.05,0.03,0.03,-0.09,-0.03,0.00,0.00,0.00,0.03,-0.02,0.02,0.02
CI976_Broad,-0.04,-0.05,-0.05,0.00,0.01,-0.05,0.03,0.02,-0.03,0.00,-0.09,0.04,-0.02,-0.08,0.00,0.02,-0.05,-0.06,-0.06,0.00,0.00,-0.09,0.01,0.02,-0.12,-0.06,-0.02,0.03,-0.09,-0.05,-0.04,0.01,0.06
ETOMOXIR_Broad,-0.02,-0.08,-0.04,-0.03,0.03,-0.09,-0.02,0.00,0.03,0.01,-0.11,-0.02,-0.05,-0.08,0.02,0.03,-0.13,-0.08,-0.07,-0.04,-0.01,-0.14,0.01,-0.10,-0.09,-0.06,-0.06,-0.07,0.01,0.02,-0.09,-0.07,-0.02
CHM1_Broad,0.11,0.11,0.20,0.10,0.16,0.01,0.16,0.04,0.27,0.09,0.14,0.18,0.07,0.03,0.08,0.14,0.16,0.20,0.18,0.18,0.17,0.12,0.09,0.27,0.16,0.17,0.16,0.18,0.18,0.20,0.06,0.13,0.16
BEC_Broad,0.03,0.03,-0.01,-0.03,-0.11,0.01,0.08,0.10,0.06,-0.01,-0.04,0.04,-0.06,-0.07,0.03,0.04,-0.10,-0.04,0.00,0.05,0.07,0.00,0.08,0.05,-0.06,-0.02,0.04,0.03,-0.11,-0.09,-0.03,-0.03,0.03
TEMOZOLOMIDE_Broad,-0.01,-0.02,-0.04,-0.10,-0.23,-0.06,0.00,-0.03,-0.02,-0.05,0.03,0.03,-0.05,-0.12,-0.01,-0.01,-0.11,-0.08,-0.02,-0.01,0.01,-0.07,-0.04,-0.05,-0.02,-0.03,-0.05,-0.05,-0.14,-0.10,-0.06,-0.01,-0.01
CHIR99021_Broad,-0.05,-0.18,-0.07,-0.09,-0.20,-0.17,-0.09,-0.17,-0.01,-0.10,-0.02,0.10,-0.18,-0.23,-0.15,-0.09,-0.16,-0.24,-0.15,-0.13,0.02,-0.12,-0.07,-0.18,-0.15,-0.03,-0.12,-0.01,-0.01,0.02,-0.12,0.10,-0.10
LINIFANIB_Broad,0.24,0.17,0.24,0.32,0.23,-0.01,0.30,0.41,0.26,0.29,0.07,0.33,0.18,-0.10,0.23,0.24,0.26,0.21,0.21,0.19,0.18,0.15,0.18,0.24,0.15,0.12,0.06,0.36,0.60,0.55,0.05,0.16,0.20
IFOSFAMIDE_Broad,0.00,0.00,-0.03,-0.12,-0.25,-0.02,0.01,0.00,0.02,-0.06,0.03,0.05,-0.03,-0.05,-0.01,-0.03,-0.06,-0.01,-0.01,-0.02,-0.01,-0.02,0.01,0.02,0.05,0.02,0.01,-0.04,-0.03,-0.02,-0.03,-0.04,0.02
DACARBAZINE_Broad,0.01,0.03,0.01,-0.03,-0.20,-0.02,0.05,0.03,0.02,-0.01,0.07,0.06,-0.03,-0.02,0.04,0.05,-0.06,-0.06,0.06,0.02,0.06,0.00,0.02,0.07,0.08,0.03,-0.01,0.04,-0.08,-0.05,0.01,-0.01,0.05
DEXAMETHASONE_Broad,0.01,-0.01,-0.10,-0.08,-0.24,0.00,0.07,0.07,-0.01,0.02,-0.04,0.06,-0.07,-0.11,0.04,0.02,-0.10,-0.10,-0.01,0.05,0.02,-0.01,0.08,-0.03,-0.09,-0.08,0.01,0.00,-0.09,-0.04,-0.01,-0.08,0.01
OXALIPLATIN_Broad,0.03,0.04,0.04,-0.05,-0.05,-0.01,0.08,0.02,0.07,0.02,0.09,0.09,0.02,0.03,0.04,0.05,-0.08,-0.02,0.06,0.08,0.06,0.07,0.06,0.09,0.04,0.00,0.02,0.04,-0.07,0.02,0.03,0.04,0.02
PURMORPHAMINE_Broad,0.11,-0.03,0.05,0.08,-0.12,0.00,0.05,0.05,0.09,-0.01,-0.04,0.05,-0.04,-0.07,0.00,0.07,0.20,-0.07,0.02,0.02,0.04,0.00,0.05,0.01,-0.08,-0.04,0.03,0.05,0.00,0.17,-0.03,-0.02,0.03
SORAFENIB_Broad,0.07,-0.03,-0.01,-0.18,-0.01,-0.09,0.05,0.04,-0.04,0.10,-0.04,-0.03,-0.11,-0.12,-0.03,-0.01,0.17,0.03,0.10,0.08,0.02,-0.01,0.09,-0.01,-0.12,0.04,-0.01,0.01,-0.20,-0.18,0.00,0.04,-0.09
KU0063794_Broad,0.19,0.16,0.09,-0.02,0.02,0.05,0.18,0.08,0.06,0.05,0.07,0.13,0.10,0.09,0.12,0.20,0.27,0.18,0.14,0.18,0.14,0.01,0.00,0.18,0.10,0.15,0.13,0.08,-0.10,-0.01,0.07,0.06,0.21
MANUMYCINA_Broad,0.18,0.13,0.11,0.00,0.12,-0.05,0.02,0.00,0.12,0.24,0.06,0.06,-0.06,-0.11,-0.04,0.03,0.19,0.14,0.05,0.16,-0.01,0.27,0.23,0.28,-0.05,0.09,-0.03,0.22,0.04,0.16,0.17,0.21,0.05
TOPOTECAN_Broad,0.23,0.23,0.43,0.33,0.50,0.14,0.24,0.23,0.42,0.75,0.26,0.40,0.37,0.34,0.22,0.37,0.13,0.15,0.50,0.67,0.50,0.41,0.32,0.47,0.20,0.31,0.38,0.39,0.45,0.44,0.29,0.46,0.32
SRT1720_Broad,0.30,0.30,0.29,0.31,0.30,0.26,0.41,0.43,0.36,0.34,0.24,0.38,0.29,0.23,0.33,0.33,0.49,0.48,0.24,0.31,0.30,0.24,0.34,0.28,0.28,0.29,0.32,0.21,0.35,0.33,0.29,0.25,0.29
CAY10576_Broad,0.01,-0.03,0.00,-0.08,-0.28,-0.03,0.02,0.02,0.03,-0.02,-0.08,0.05,-0.07,-0.10,-0.02,-0.01,-0.18,-0.13,-0.09,-0.04,-0.02,-0.09,0.03,-0.01,-0.12,-0.07,0.00,-0.02,-0.11,-0.08,-0.06,-0.07,-0.03
VEMURAFENIB_Broad,-0.03,-0.04,0.01,-0.06,-0.20,-0.05,-0.01,0.02,0.00,-0.02,0.03,0.04,-0.04,-0.09,-0.02,-0.02,-0.08,-0.04,-0.02,-0.01,0.01,-0.06,-0.02,-0.02,0.02,-0.06,-0.02,-0.02,-0.18,-0.12,-0.08,-0.04,-0.02
ABT263NAVITOCLAX_Broad,0.10,0.01,0.06,0.06,0.40,-0.03,0.01,0.03,0.07,0.01,-0.06,0.08,-0.03,-0.09,0.00,0.01,0.14,0.34,0.16,0.05,0.23,0.00,0.04,0.15,-0.06,0.18,0.09,-0.03,0.00,-0.02,-0.01,0.35,-0.01
ETOPOSIDE_Broad,0.02,0.00,0.17,0.00,-0.13,-0.01,0.06,0.04,0.01,0.14,0.08,0.13,0.13,0.15,0.10,0.11,-0.14,-0.13,0.00,0.03,0.18,0.13,0.14,0.13,0.04,0.07,0.01,0.07,-0.07,-0.11,0.09,0.04,0.07
IC87114_Broad,0.00,-0.04,0.02,-0.09,-0.21,-0.03,0.04,-0.02,0.03,-0.04,0.01,0.06,-0.03,-0.06,0.03,0.01,-0.05,0.00,-0.02,-0.02,0.01,0.00,0.01,0.01,0.03,0.07,-0.02,-0.02,-0.05,-0.04,-0.02,-0.04,0.07
SCH79797DIHYDROCHLORIDE_Broad,0.36,0.34,0.65,0.45,0.40,0.30,0.49,0.43,0.55,0.39,0.38,0.65,0.47,0.28,0.48,0.49,0.46,0.43,0.45,0.49,0.39,0.31,0.37,0.45,0.42,0.43,0.43,0.49,0.42,0.64,0.36,0.34,0.34
PYR41_Broad,-0.02,-0.04,0.00,0.13,-0.08,-0.04,0.08,0.09,0.15,0.03,-0.02,0.07,-0.04,-0.08,0.06,0.02,0.09,0.04,-0.08,0.03,0.04,-0.04,0.03,-0.01,-0.01,-0.02,0.06,0.08,-0.05,0.04,0.00,0.02,0.01
STF31_Broad,0.14,0.24,0.25,0.04,0.51,0.04,0.29,0.22,0.50,0.64,0.14,0.13,0.09,-0.02,0.07,0.12,0.34,0.26,0.20,0.31,0.67,0.48,0.28,0.46,0.18,0.12,0.26,0.39,-0.08,0.25,0.12,0.26,0.13
BRD9876_Broad,-0.05,-0.07,0.03,-0.03,-0.15,-0.03,0.03,0.00,0.00,-0.03,0.02,0.04,-0.07,-0.12,0.00,-0.03,0.06,0.00,0.02,-0.04,0.02,0.00,0.02,0.06,0.02,0.05,0.05,0.03,-0.10,-0.05,-0.02,0.00,0.04
BLEBBISTATIN_Broad,-0.12,-0.08,-0.17,-0.13,-0.37,-0.05,-0.06,-0.08,-0.07,-0.11,-0.13,0.01,-0.08,-0.12,-0.04,-0.02,0.00,-0.08,-0.09,0.03,-0.08,-0.11,0.04,0.03,0.01,0.09,-0.06,-0.11,-0.28,-0.37,-0.07,-0.13,-0.03
FGIN127_Broad,-0.02,-0.07,-0.01,-0.04,-0.26,-0.04,0.02,-0.01,0.02,-0.05,-0.05,0.05,-0.06,-0.11,-0.02,-0.03,-0.05,-0.02,-0.04,0.00,-0.02,-0.04,0.00,0.04,0.02,-0.03,0.03,0.01,-0.10,-0.10,-0.04,-0.03,0.02
CURCUMIN_Broad,0.17,0.27,0.27,0.32,0.12,0.05,0.36,0.30,0.24,0.17,0.22,0.34,0.27,0.17,0.20,0.23,0.24,0.23,0.26,0.26,0.12,0.23,0.26,0.39,0.32,0.32,0.30,0.29,0.21,0.18,0.26,0.31,0.15
CYCLOSPORINA_Broad,-0.05,-0.07,-0.05,0.03,0.00,-0.02,0.03,-0.03,0.03,-0.03,0.02,0.06,-0.04,-0.08,-0.02,-0.04,-0.07,0.01,-0.02,0.15,-0.07,0.12,-0.03,0.03,0.03,0.00,0.03,-0.02,-0.30,-0.12,-0.01,0.00,0.06
OUABAIN_Broad,0.77,0.92,0.88,0.87,0.75,0.50,0.81,0.80,0.82,0.86,0.79,0.79,0.94,0.86,0.68,0.90,0.85,0.76,0.83,0.82,0.82,0.94,0.87,0.82,0.88,0.82,0.77,0.92,0.91,0.94,0.76,0.79,0.83
LY2183240_Broad,0.05,0.06,0.30,0.18,-0.03,0.01,0.18,0.22,0.24,0.13,0.05,0.21,0.08,0.02,0.12,0.11,0.07,0.06,0.06,0.11,0.06,0.04,0.06,0.11,0.12,0.12,0.16,0.14,0.08,0.04,0.06,0.09,0.13
HBX41108_Broad,0.04,0.12,0.58,0.08,0.10,0.28,0.12,0.04,0.15,0.07,0.29,0.16,0.03,-0.03,0.00,0.04,0.24,0.18,0.16,0.17,0.06,0.07,0.12,0.14,0.08,0.26,0.14,0.06,0.04,0.05,0.32,0.42,0.05
CD1530_Broad,0.13,0.07,-0.03,-0.03,0.02,0.02,0.01,0.04,0.04,0.00,0.00,0.09,0.01,0.03,0.09,0.03,0.21,0.28,0.06,0.03,0.06,0.08,0.04,0.08,0.01,0.07,0.06,0.03,-0.05,0.01,0.03,0.04,0.10
TRIPTOLIDE_Broad,0.72,0.96,0.98,0.93,0.95,0.39,0.91,0.96,0.78,0.87,0.46,0.65,0.99,0.98,0.76,0.89,0.96,0.61,0.92,0.94,0.97,0.98,0.98,0.98,0.98,0.97,0.92,0.98,0.97,0.92,0.94,0.97,0.95
JW480_Broad,-0.01,-0.02,0.11,0.05,-0.10,0.01,0.13,0.08,0.09,0.04,0.03,0.10,-0.06,-0.05,0.04,0.04,0.16,0.29,0.02,0.03,0.06,0.02,0.04,0.01,0.00,0.01,0.11,0.07,-0.03,-0.02,0.04,0.01,0.11
PRIMA1_Broad,-0.03,0.02,0.08,0.32,0.04,0.05,0.19,0.12,0.26,0.05,0.29,0.31,0.19,0.03,0.03,0.00,-0.01,-0.02,-0.01,0.11,0.01,-0.12,0.02,0.24,0.18,0.27,0.34,0.24,-0.01,0.12,0.09,0.17,0.18
LE135_Broad,-0.01,-0.02,0.06,-0.01,-0.01,-0.03,0.05,0.02,0.06,-0.01,-0.02,0.02,0.03,-0.04,0.02,0.00,-0.02,0.03,0.02,0.08,0.03,0.04,-0.02,0.14,-0.01,0.04,0.03,0.02,-0.01,0.07,0.01,-0.02,0.00
AC55649_Broad,-0.04,-0.01,-0.01,-0.04,-0.15,-0.01,0.02,-0.01,0.00,-0.03,-0.03,0.04,0.01,-0.04,-0.01,-0.02,-0.12,0.00,-0.03,0.01,0.00,-0.03,-0.02,0.07,-0.01,0.02,0.00,-0.01,-0.05,-0.04,-0.01,-0.04,0.00
968_Broad,0.23,0.43,0.29,0.34,0.19,0.16,0.55,0.45,0.29,0.26,0.27,0.46,0.44,0.21,0.23,0.27,0.23,-0.05,0.37,-0.07,0.44,-0.02,0.43,0.08,0.27,0.23,0.36,0.35,0.38,0.38,0.15,0.23,0.24
RUXOLITINIB_Broad,-0.10,-0.07,-0.19,-0.17,-0.31,-0.07,-0.07,-0.16,-0.06,-0.10,0.04,0.05,-0.13,-0.16,0.00,-0.04,-0.15,-0.17,-0.07,-0.01,-0.03,-0.07,-0.03,0.02,0.02,-0.09,-0.03,0.00,-0.25,-0.17,-0.05,-0.11,-0.06
TIPIFARNIBP1_Broad,0.09,0.28,0.23,0.41,-0.09,0.00,0.24,0.21,0.19,0.10,0.14,0.30,0.03,-0.06,0.02,0.03,0.19,0.10,0.23,0.08,0.10,0.17,0.11,0.10,0.12,0.19,0.17,0.22,0.16,0.05,0.17,0.12,0.10
VELIPARIB_Broad,-0.03,0.02,-0.03,0.04,-0.20,0.02,0.05,0.09,-0.02,0.05,-0.01,0.04,-0.01,-0.04,0.04,0.04,0.08,-0.01,-0.08,0.02,0.10,0.00,0.09,0.05,-0.01,-0.01,0.06,0.04,-0.18,-0.25,0.03,-0.01,0.08
TG100115_Broad,-0.01,0.02,0.06,0.02,-0.05,0.09,0.15,0.13,0.07,-0.02,0.07,0.07,0.03,-0.01,0.08,0.07,0.05,0.13,0.04,0.10,0.09,0.00,0.04,0.21,0.20,0.23,0.09,0.07,-0.04,-0.06,0.05,0.01,0.08
AFATINIB_Broad,0.41,0.35,0.53,0.26,-0.12,0.08,0.53,0.59,0.53,0.21,0.23,0.35,0.30,0.21,0.22,0.39,0.84,0.64,0.29,0.52,0.19,-0.08,0.04,0.43,0.61,0.69,0.23,0.37,0.18,0.35,0.19,0.05,0.44
BMS536924_Broad,0.11,0.03,0.34,0.44,0.07,0.00,0.19,0.27,0.31,0.20,0.16,0.41,0.31,0.07,0.35,0.45,0.21,0.25,0.13,0.21,0.38,0.44,0.41,0.13,0.02,-0.07,0.43,0.30,0.02,0.42,0.05,0.05,0.28
AXITINIB_Broad,0.00,0.02,0.19,-0.02,-0.04,-0.01,0.08,0.10,-0.02,0.06,0.00,0.18,-0.02,-0.11,0.07,0.03,0.01,0.02,-0.04,0.05,0.13,0.12,0.09,0.07,-0.04,0.01,0.12,0.09,-0.17,-0.09,0.04,0.01,0.04
GSK1059615_Broad,0.16,0.11,0.13,0.09,-0.08,0.07,0.17,0.10,0.16,0.15,0.11,0.11,0.06,-0.01,0.13,0.11,0.26,0.18,0.08,0.12,0.13,0.03,0.03,0.21,0.14,0.16,0.10,0.09,-0.04,0.01,0.13,0.07,0.15
SARACATINIB_Broad,0.06,-0.01,0.31,0.11,0.08,0.01,0.23,0.29,0.23,-0.05,-0.01,0.22,0.13,0.04,0.29,0.20,-0.20,-0.20,0.11,0.19,0.08,-0.10,0.03,0.13,0.13,0.17,0.18,0.09,-0.06,0.12,0.00,0.03,0.20
MGCD265_Broad,-0.01,-0.04,0.00,0.02,-0.07,-0.02,0.13,0.09,0.02,-0.04,0.07,0.08,-0.08,-0.11,-0.03,0.01,0.01,-0.04,0.08,0.12,0.00,-0.01,0.01,0.14,0.05,-0.01,0.04,0.06,-0.09,-0.09,0.00,0.02,0.06
SELUMETINIBAZD6244_Broad,-0.01,0.17,0.38,0.20,0.01,0.08,0.15,0.26,0.33,0.16,0.05,0.22,0.16,-0.02,0.08,0.10,0.36,-0.07,-0.03,0.06,0.11,0.03,0.09,0.03,0.03,-0.05,0.12,0.18,0.00,0.12,0.02,0.06,0.16
KI8751_Broad,-0.08,-0.08,-0.03,-0.03,-0.14,-0.02,0.04,0.01,-0.01,-0.08,0.03,0.05,-0.08,-0.11,0.01,-0.02,-0.03,-0.05,-0.03,-0.02,0.01,-0.04,-0.03,0.03,0.01,0.03,0.02,0.03,-0.15,-0.21,-0.03,-0.03,0.03
NINTEDANIB_Broad,-0.05,0.01,-0.01,0.00,-0.20,-0.05,-0.02,-0.09,0.04,-0.04,-0.04,0.06,-0.04,-0.09,-0.03,0.00,-0.15,-0.32,-0.06,-0.04,0.03,-0.02,0.02,-0.03,-0.07,-0.09,0.02,-0.01,-0.16,-0.14,-0.05,-0.05,0.05
SP600125PYRAZOLANTHRONE_Broad,-0.06,-0.01,0.04,-0.04,-0.21,-0.03,0.06,-0.04,0.03,-0.05,0.04,0.06,-0.06,-0.11,-0.05,0.00,-0.01,-0.09,-0.04,-0.07,-0.01,-0.03,-0.02,-0.01,0.11,0.08,0.00,-0.01,-0.16,-0.17,-0.04,-0.04,0.00
AZD6482_Broad,0.03,0.27,0.24,0.07,-0.09,0.17,0.31,0.24,0.07,-0.02,0.08,0.13,0.11,0.05,0.08,0.09,0.16,0.19,0.05,0.17,0.09,0.00,0.02,0.33,0.32,0.52,0.12,0.07,-0.10,0.04,0.30,0.20,0.19
SB525334_Broad,-0.07,0.07,-0.01,0.02,-0.21,0.25,-0.04,0.04,0.09,0.11,0.02,0.11,-0.06,-0.06,-0.01,0.00,-0.01,0.01,0.12,-0.04,-0.11,-0.02,0.01,0.06,-0.03,0.00,0.11,0.08,0.03,-0.03,0.05,0.07,0.03
CANERTINIB_Broad,0.17,0.13,0.32,0.27,-0.27,0.09,0.24,0.38,0.22,0.00,0.04,0.18,0.17,0.12,0.17,0.23,0.39,0.43,0.00,0.20,0.04,0.00,0.03,0.22,0.24,0.37,0.15,0.09,-0.21,0.10,0.05,0.04,0.34
BRDK70511574HMN214_Broad,0.10,0.10,0.48,0.18,0.00,0.02,0.21,0.15,0.33,0.15,0.14,0.38,0.13,0.03,0.10,0.20,0.09,0.10,0.23,0.23,0.15,0.18,0.12,0.25,0.15,0.17,0.23,0.27,0.24,0.20,0.10,0.14,0.15
BOSUTINIB_Broad,-0.05,-0.02,-0.03,-0.02,-0.18,0.01,0.02,0.00,-0.05,-0.06,-0.07,0.07,-0.06,-0.11,-0.01,-0.03,-0.12,-0.13,-0.08,-0.06,-0.01,-0.04,-0.01,-0.07,-0.05,-0.06,0.04,0.01,-0.11,-0.16,-0.03,-0.03,0.03
CEDIRANIB_Broad,-0.01,0.00,0.01,0.02,0.09,0.01,0.11,0.10,0.00,0.00,-0.09,0.10,0.01,-0.06,0.03,-0.01,-0.20,-0.21,-0.05,-0.02,0.01,0.00,0.03,0.03,-0.05,-0.04,0.13,0.03,-0.05,-0.13,-0.03,0.02,0.03
SN38_Broad,0.31,0.05,0.32,0.16,0.56,0.12,0.13,0.14,0.18,0.63,0.14,0.28,0.41,0.37,0.17,0.39,0.12,-0.06,0.29,0.53,0.50,0.43,0.23,0.38,-0.01,0.10,0.31,0.29,0.39,0.42,0.20,0.32,0.15
MARITOCLAX_Broad,0.25,0.36,0.32,0.56,-0.13,0.26,0.55,0.40,0.38,0.34,0.18,0.20,0.25,0.10,0.15,0.25,0.45,0.38,0.23,0.28,0.07,0.16,0.11,0.39,0.35,0.33,0.21,0.33,0.38,0.30,0.22,0.32,0.29
KO143_Broad,-0.04,-0.01,-0.01,-0.05,-0.18,-0.03,0.01,-0.04,0.06,0.04,0.03,0.04,-0.04,-0.08,-0.01,-0.02,0.13,0.17,0.03,-0.02,-0.02,-0.01,-0.02,0.00,0.02,0.05,0.03,0.00,-0.05,0.03,0.00,0.00,0.02
YK4279_Broad,0.00,0.02,0.11,0.02,-0.22,-0.04,0.04,-0.03,0.07,0.08,-0.05,0.12,-0.03,-0.08,-0.01,0.02,0.02,-0.05,0.09,0.07,0.03,0.03,0.07,0.01,-0.04,0.01,0.11,0.09,0.03,0.02,0.02,0.06,0.04
ISX9_Broad,0.03,0.00,-0.02,0.04,-0.14,-0.05,-0.12,-0.11,-0.09,0.01,0.01,0.11,-0.15,-0.13,-0.08,-0.06,-0.33,-0.38,-0.11,0.03,-0.03,0.13,0.08,-0.13,-0.11,-0.01,-0.01,-0.08,-0.21,-0.05,-0.08,-0.11,0.05
BMS195614_Broad,-0.01,-0.07,0.04,-0.02,-0.09,-0.03,0.05,0.03,0.04,0.03,0.04,0.05,-0.05,-0.09,0.02,0.00,-0.08,-0.02,0.04,0.03,0.05,0.04,0.03,-0.05,0.01,-0.09,0.06,0.03,-0.09,-0.11,0.06,0.06,0.04
KU0060648_Broad,0.06,-0.01,0.21,0.14,-0.24,0.08,0.21,0.07,0.12,0.08,0.11,0.14,0.09,0.02,0.08,0.05,0.09,-0.04,0.12,0.14,0.07,-0.05,-0.03,0.20,0.18,0.36,0.00,0.09,-0.30,0.00,0.18,0.10,0.14
SCH529074_Broad,0.30,-0.04,0.12,0.07,0.16,-0.04,0.09,0.08,0.06,0.03,0.11,0.14,-0.06,-0.12,-0.01,-0.06,0.23,0.15,0.05,0.02,0.03,0.25,-0.02,0.07,0.14,0.04,0.08,0.02,-0.04,0.11,0.00,0.13,0.02
QS11_Broad,0.11,0.03,0.03,-0.05,-0.12,-0.03,0.15,0.01,0.06,0.04,0.01,0.04,-0.10,-0.10,0.02,0.04,0.21,0.14,0.10,0.05,0.02,0.17,0.02,0.21,-0.02,0.00,0.03,0.12,-0.03,0.02,0.04,0.00,0.04
MIRA1_Broad,-0.04,-0.05,0.06,0.00,-0.24,-0.08,0.02,-0.03,0.06,0.04,-0.09,0.02,-0.13,-0.12,-0.06,-0.05,-0.11,-0.09,-0.03,0.10,-0.04,0.09,0.01,0.16,-0.03,-0.08,0.02,0.03,-0.05,-0.06,0.02,0.14,0.00
LRRK2IN1_Broad,-0.02,0.06,0.31,0.12,-0.23,0.06,0.12,-0.02,0.21,0.06,0.10,0.25,0.02,0.02,0.01,0.03,-0.28,-0.72,0.04,0.18,-0.05,-0.10,-0.06,0.05,0.14,0.23,0.02,-0.01,-0.51,-0.13,-0.02,-0.02,0.04
A804598_Broad,-0.05,-0.05,0.03,-0.06,-0.24,-0.05,0.03,-0.01,0.03,0.01,0.00,0.05,-0.06,-0.09,-0.02,-0.05,-0.05,-0.05,0.00,-0.03,0.00,-0.01,-0.02,0.01,0.02,0.04,0.03,0.02,-0.10,-0.08,-0.02,0.01,-0.01
